Id_Venda;Id_Produto;Id_Vendedor;Quantidade;Data_Venda;R$_Unit;R$_Total
560;14;14;9;23/03/2025;701,16;6310,44
561;31;14;4;25/03/2024;835,77;3343,08
562;29;12;11;06/07/2023;867,82;9546,02
563;17;6;12;15/03/2023;111,19;1334,28
564;36;9;9;16/08/2024;179,43;1614,87
565;23;1;14;11/03/2024;831,11;11635,54
566;8;6;20;23/02/2024;606;12120
567;13;10;19;21/03/2024;761,22;14463,18
568;42;11;18;29/08/2024;807;14526
569;12;13;10;04/02/2023;285,41;2854,1
570;23;6;17;28/03/2025;831,11;14128,87
571;32;13;15;04/01/2024;376,48;5647,2
572;6;7;20;05/04/2025;41,46;829,2
573;19;8;5;22/09/2024;607,69;3038,45
574;11;11;11;28/10/2024;228,24;2510,64
575;27;11;20;17/04/2025;235,62;4712,4
576;37;7;3;22/09/2023;252,36;757,08
577;6;3;11;14/05/2023;41,46;456,06
578;15;6;11;18/04/2023;285,09;3135,99
579;42;5;9;05/12/2024;807;7263
580;39;11;13;24/12/2024;691,28;8986,64
581;18;15;15;24/07/2024;105,75;1586,25
582;24;12;19;23/03/2023;886,6;16845,4
583;34;8;14;31/03/2024;937,29;13122,06
584;11;3;1;03/11/2023;228,24;228,24
585;9;12;8;11/10/2023;206,85;1654,8
586;43;5;3;07/07/2023;275,06;825,18
587;14;3;13;13/12/2023;701,16;9115,08
588;7;2;3;10/06/2025;226,45;679,35
589;31;9;2;30/05/2024;835,77;1671,54
590;2;13;13;10/08/2023;282,28;3669,64
591;34;13;3;03/02/2025;937,29;2811,87
592;7;5;20;25/05/2025;226,45;4529
593;10;2;13;23/02/2024;704,31;9156,03
594;20;4;8;03/09/2024;732,43;5859,44
595;48;5;15;05/08/2023;464,26;6963,9
